"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0.1,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,16,0,0,0,"days.above.thresh"
0.1,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,16,31,22,42,"tot.hosp"
0.1,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,16,16,10,23,"death"
0.1,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,16,663,532.95,803.05,"sympiso"
0.1,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,16,18,11,26,"asympiso"
0.15,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,17,909,697,1143,"tot.cases"
0.15,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,17,8,5,12,"peak.hosp"
0.15,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,17,0,0,0,"days.above.thresh"
0.15,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,17,28,20,39,"tot.hosp"
0.15,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,17,15,9,22,"death"
0.15,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,17,586,469.95,714,"sympiso"
0.15,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,17,17,10,24,"asympiso"
0.2,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,18,766,585,972.05,"tot.cases"
0.2,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,18,7,4,10,"peak.hosp"
0.2,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,18,0,0,0,"days.above.thresh"
0.2,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,18,25,17,35,"tot.hosp"
0.2,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,18,13,8,20,"death"
0.2,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,18,515,415.95,629,"sympiso"
0.2,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,18,15,9,22,"asympiso"
0.25,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,19,649,491,820.05,"tot.cases"
0.25,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,19,6,4,9,"peak.hosp"
0.25,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,19,0,0,0,"days.above.thresh"
