"d","tot.tests","sens","Ds","rho","Da","Ts","Ta","sim","median","lower","upper","objective"
0.2,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,18,11,6,17,"asympiso"
0.25,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,19,293,216,391,"tot.cases"
0.25,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,19,4,2,6,"peak.hosp"
0.25,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,19,0,0,0,"days.above.thresh"
0.25,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,19,12,8,17,"tot.hosp"
0.25,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,19,7,3,11,"death"
0.25,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,19,204,170,240,"sympiso"
0.25,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,19,10,5,16,"asympiso"
0.3,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,20,261,192,346,"tot.cases"
0.3,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,20,4,2,6,"peak.hosp"
0.3,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,20,0,0,0,"days.above.thresh"
0.3,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,20,11,7,16,"tot.hosp"
0.3,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,20,7,3,11,"death"
0.3,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,20,189,159,222,"sympiso"
0.3,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,20,9,5,15,"asympiso"
0.35,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,21,228.5,169,305.05,"tot.cases"
0.35,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,21,4,2,6,"peak.hosp"
0.35,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,21,0,0,0,"days.above.thresh"
0.35,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,21,11,7,16,"tot.hosp"
0.35,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,21,6,3,10,"death"
0.35,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,21,176,148,207,"sympiso"
0.35,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,21,8,4,14,"asympiso"
0.4,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,22,199,148,263,"tot.cases"
0.4,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,22,3,2,5,"peak.hosp"
0.4,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,22,0,0,0,"days.above.thresh"
0.4,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,22,10,6,15,"tot.hosp"
0.4,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,22,6,3,10,"death"
0.4,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,22,163,139,190,"sympiso"
0.4,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,22,8,4,13,"asympiso"
0.45,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,23,175,130,230,"tot.cases"
0.45,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,23,3,2,5,"peak.hosp"
0.45,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,23,0,0,0,"days.above.thresh"
0.45,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,23,10,6,14,"tot.hosp"
0.45,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,23,6,3,9,"death"
0.45,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,23,152,131,177,"sympiso"
0.45,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,23,7,3,12,"asympiso"
0.5,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,24,153,115,202,"tot.cases"
0.5,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,24,3,2,5,"peak.hosp"
0.5,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,24,0,0,0,"days.above.thresh"
0.5,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,24,9,6,13,"tot.hosp"
0.5,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,24,5,3,9,"death"
0.5,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,24,142,123,165,"sympiso"
0.5,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,24,7,3,11,"asympiso"
0.55,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,25,133,100,174,"tot.cases"
0.55,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,25,3,2,5,"peak.hosp"
0.55,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,25,0,0,0,"days.above.thresh"
0.55,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,25,9,5,13,"tot.hosp"
0.55,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,25,5,2,9,"death"
0.55,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,25,133,115,153,"sympiso"
0.55,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,25,6,3,11,"asympiso"
0.6,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,26,116,88,150,"tot.cases"
0.6,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,26,3,2,5,"peak.hosp"
0.6,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,26,0,0,0,"days.above.thresh"
0.6,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,26,8,5,12,"tot.hosp"
